latitude,longitude,grid_row,grid_col,plant_records,effort_intensity,weight
44.829166666666666,-0.6791666666666671,800,578,3023.737548828125,3023.737548828125,3024.187548828125
49.3875,1.7874999999999996,253,874,375.12274169921875,375.12274169921875,375.57274169921874
48.87083333333334,0.7458333333333336,315,749,107.8459243774414,107.8459243774414,108.29592437744141
47.62083333333334,2.070833333333333,465,908,37.0,37.0,37.45
46.97083333333333,1.4708333333333332,543,836,233.0,233.0,233.45
50.65416666666667,1.5791666666666666,101,849,151.685546875,151.685546875,152.135546875
50.3125,2.8125,142,997,634.9541015625,634.9541015625,635.4041015625
42.420833333333334,9.195833333333333,1089,1763,88.46411895751953,88.46411895751953,88.91411895751953
43.19583333333333,6.0458333333333325,996,1385,64.79833984375,64.79833984375,65.24833984375
45.05416666666667,-0.037499999999999645,773,655,522.0,522.0,522.45
44.9375,1.604166666666667,787,852,761.9987182617188,761.9987182617188,762.4487182617188
45.4875,5.245833333333334,721,1289,119.98676300048828,119.98676300048828,120.43676300048828
43.4375,3.779166666666667,967,1113,1608.80419921875,1608.80419921875,1609.25419921875
46.17916666666667,2.029166666666667,638,903,3451.39111328125,3451.39111328125,3451.84111328125
47.3125,0.17916666666666625,502,681,2450.497802734375,2450.497802734375,2450.947802734375
45.75416666666666,3.9958333333333336,689,1139,843.7792358398438,843.7792358398438,844.2292358398438
45.17916666666667,3.4124999999999996,758,1069,144.69027709960938,144.69027709960938,145.14027709960936
44.2375,6.704166666666666,871,1464,1085.5523681640625,1085.5523681640625,1086.0023681640625
43.545833333333334,3.7958333333333325,954,1115,156.11557006835938,156.11557006835938,156.56557006835936
47.09583333333333,-1.0875000000000004,528,529,622.6533203125,622.6533203125,623.1033203125
49.25416666666667,1.4874999999999998,269,838,268.72076416015625,268.72076416015625,269.17076416015624
48.44583333333333,-1.9125,366,430,22.24029541015625,22.24029541015625,22.69029541015625
45.354166666666664,0.895833333333333,737,767,580.2740478515625,580.2740478515625,580.7240478515625
44.8875,-0.5791666666666666,793,590,1566.9066162109375,1566.9066162109375,1567.3566162109375
45.37916666666666,4.754166666666666,734,1230,3188.78955078125,3188.78955078125,3189.23955078125
49.2875,2.4624999999999995,265,955,24.910282135009766,24.910282135009766,25.360282135009765
48.82083333333333,-1.5208333333333335,321,477,9.945185661315918,9.945185661315918,10.395185661315917
44.9875,4.429166666666667,781,1191,112.91851806640625,112.91851806640625,113.36851806640625
46.09583333333333,1.9541666666666666,648,894,186.20741271972656,186.20741271972656,186.65741271972655
44.8375,6.4375,799,1432,268.543701171875,268.543701171875,268.993701171875
46.4125,4.0625,610,1147,339.35406494140625,339.35406494140625,339.80406494140624
49.645833333333336,2.0125,222,901,260.0,260.0,260.45
43.90416666666667,4.279166666666667,911,1173,133.07704162597656,133.07704162597656,133.52704162597655
42.3125,9.145833333333334,1102,1757,558.0322265625,558.0322265625,558.4822265625
47.8375,-2.004166666666667,439,419,33.423702239990234,33.423702239990234,33.87370223999024
45.6625,6.237500000000001,700,1408,1151.3375244140625,1151.3375244140625,1151.7875244140625
48.09583333333333,6.4625,408,1435,272.66961669921875,272.66961669921875,273.11961669921874
47.4125,6.7125,490,1465,79.0,79.0,79.45
48.5125,3.095833333333333,358,1031,896.0,896.0,896.45
47.00416666666666,4.179166666666667,539,1161,1114.0,1114.0,1114.45
49.1375,1.8624999999999998,283,883,1.0,1.0,1.45
48.0125,7.0458333333333325,418,1505,78.51687622070312,78.51687622070312,78.96687622070313
47.97083333333333,0.23749999999999982,423,688,136.09481811523438,136.09481811523438,136.54481811523436
48.545833333333334,-1.6958333333333333,354,456,228.26931762695312,228.26931762695312,228.7193176269531
48.229166666666664,1.020833333333333,392,782,560.0,560.0,560.45
46.2625,4.220833333333333,628,1166,983.0,983.0,983.45
50.229166666666664,3.2125000000000004,152,1045,6119.6162109375,6119.6162109375,6120.0662109375
47.7375,-0.23749999999999982,451,631,776.4207153320312,776.4207153320312,776.8707153320313
45.5625,3.8375000000000004,712,1120,237.2177734375,237.2177734375,237.6677734375
48.1375,-2.1041666666666665,403,407,459.82666015625,459.82666015625,460.27666015625
49.3625,3.0124999999999993,256,1021,938.6696166992188,938.6696166992188,939.1196166992188
48.69583333333333,2.779166666666667,336,993,2356.95751953125,2356.95751953125,2357.40751953125
48.55416666666667,4.6708333333333325,353,1220,255.44456481933594,255.44456481933594,255.89456481933593
50.0875,1.5125000000000002,169,841,58.0,58.0,58.45
44.87083333333334,1.6375000000000002,795,856,384.26666259765625,384.26666259765625,384.71666259765624
