species,n_presence,n_train_presence,n_background,auc,boyce,threshold,sensitivity,specificity,tss,omission_rate,tss_max,fold
Prunus serotina,65,1380,10495,0.7407307509070253,-0.08968607885480528,0.5500949621200562,0.046153846153846156,0.963696998570748,0.009850844724594188,0.9538461538461538,0.3840436838054751,1
Pistacia terebinthus,108,1298,10459,0.818520643217077,0.7591890459595618,0.4479614794254303,0.4444444444444444,0.8911941868247443,0.3356386312691888,0.5555555555555556,0.5364695654637331,1
Quercus coccifera,11,1354,10529,0.8194424058228787,0.2856249147916392,0.5297850966453552,0.36363636363636365,0.943869313325102,0.3075056769614657,0.6363636363636364,0.7257703830977646,1
Pinus pinea,45,1255,10512,0.8665186876374091,0.553280875305863,0.52181077003479,0.5555555555555556,0.9370243531202436,0.49257990867579915,0.4444444444444444,0.6824581430745814,1
Juniperus oxycedrus,79,1216,10505,0.942546948710379,0.8887656983848803,0.7992222309112549,0.6708860759493671,0.934316991908615,0.6052030678579821,0.3291139240506329,0.8405569379258822,1
Pinus halepensis,5,987,10528,0.8424012158054711,0.19899857176187744,0.6737574934959412,0.6,0.9403495440729484,0.5403495440729484,0.4,0.7332256838905775,1
Pinus uncinata,309,666,10321,0.8629670427183839,0.9558091655213216,0.22302986681461334,0.970873786407767,0.6246487743435714,0.5955225607513384,0.029126213592232997,0.6632670562955033,1
Acacia dealbata,93,815,10508,0.958054487927273,0.9289828833144239,0.42835527658462524,0.8924731182795699,0.9272934906737723,0.8197666089533422,0.10752688172043012,0.8539259386601504,1
Quercus suber,196,635,10506,0.9626134434356267,0.869555950844785,0.5401234030723572,0.9540816326530612,0.9411764705882353,0.8952581032412965,0.04591836734693877,0.911573367210962,1
Pinus cembra,376,421,10320,0.9139457570509649,0.6632168109571771,0.5012673735618591,0.8962765957446809,0.7935077519379845,0.6897843476826653,0.10372340425531912,0.7249134092033647,1
Ostrya carpinifolia,217,360,10498,0.9251562509602443,0.8418775046548925,0.35232579708099365,0.8248847926267281,0.9036959420842066,0.7285807347109348,0.1751152073732719,0.7450262635059739,1
Juniperus thurifera,143,398,10468,0.8279231276938576,0.9497989219577894,0.5724939107894897,0.4755244755244755,0.9201375620940008,0.3956620376184763,0.5244755244755245,0.469936349473988,1
Prunus armeniaca,865,2405,8921,0.8138939554846556,0.9912783163888736,0.5088403224945068,0.923699421965318,0.5145163098307365,0.43821573179605444,0.07630057803468204,0.4713805769720469,2
Prunus persica,838,2357,8912,0.7216983456378571,0.9910425160163076,0.4754807949066162,0.8735083532219571,0.44176391382405744,0.3152722670460144,0.12649164677804292,0.33907916386369186,2
Pseudotsuga menziesii,233,2763,9021,0.8246390277716326,0.965381479324403,0.5741803646087646,0.38626609442060084,0.9480101984258952,0.33427629284649596,0.6137339055793991,0.5068611960742054,2
Picea pungens,332,2637,9008,0.7673858176935093,0.9983808969132207,0.4929659366607666,0.6174698795180723,0.7630994671403197,0.38056934665839215,0.3825301204819277,0.40771121787326925,2
Malus sylvestris,365,2596,8973,0.6170963422993486,0.9676179382644147,0.5130235552787781,0.5589041095890411,0.5999108436420372,0.1588149532310783,0.44109589041095887,0.18337203390994894,2
Populus tremula,320,2553,8969,0.6645576081502954,0.8786255096097845,0.5290722846984863,0.43125,0.7612888839335489,0.1925388839335489,0.56875,0.2526093349314305,2
Cydonia oblonga,990,1850,8825,0.7787643574555756,0.9748937062707346,0.5144140124320984,0.9424242424242424,0.43025495750708215,0.3726791999313246,0.05757575757575761,0.4111465934128823,2
Prunus avium,301,2526,8974,0.675179755173121,0.7365404775771695,0.48551613092422485,0.5681063122923588,0.6762870514820593,0.244393363774418,0.43189368770764125,0.2936752686054286,2
Quercus petraea,331,2496,8994,0.6882345867369115,0.9535585323238206,0.551758348941803,0.30513595166163143,0.8919279519679787,0.19706390362961024,0.6948640483383686,0.2614727374476573,2
Torminalis glaberrima,500,2287,8951,0.8433538152161769,0.9966540380183143,0.5498939156532288,0.806,0.7108702938219194,0.5168702938219194,0.19399999999999995,0.5290631214389454,2
Salix caprea,348,2408,8953,0.6915084008314172,0.8591030867792662,0.5292512774467468,0.28160919540229884,0.8560259131017536,0.13763510850405236,0.7183908045977012,0.30952830297684847,2
Quercus rubra,547,2205,8902,0.8266296586392475,0.9496563774024461,0.4898325204849243,0.7458866544789763,0.7824084475398787,0.5282951020188551,0.2541133455210237,0.5590132981640015,2
Betula pendula,314,2433,8963,0.697034020257378,0.7327897495631917,0.5147667527198792,0.31210191082802546,0.8255048532857302,0.13760676411375572,0.6878980891719746,0.34897465944566164,2
Pyrus communis,312,2405,8974,0.6031926991365368,0.884567992586227,0.4766159653663635,0.6346153846153846,0.5006685981724983,0.1352839827878829,0.3653846153846154,0.18466667238118095,2
Rhaphiolepis bibas,824,1869,8920,0.8332226996168749,0.9915608128345972,0.4755640923976898,0.9429611650485437,0.524103139013453,0.4670643040619966,0.05703883495145634,0.509122077582829,2
Castanea sativa,312,2391,8971,0.7508444231983971,0.9533139196272569,0.5287946462631226,0.49038461538461536,0.7782855868910935,0.2686702022757088,0.5096153846153846,0.42351637327113867,2
Ilex aquifolium,342,2334,8948,0.6957031791219966,0.9388235294117647,0.5054593682289124,0.5467836257309941,0.7169199821189093,0.2637036078499033,0.45321637426900585,0.33262815435250326,2
Punica granatum,921,1742,8876,0.8381897236334704,0.9892923392363997,0.49943095445632935,0.9337676438653637,0.5386435331230284,0.4724111769883921,0.0662323561346363,0.519562812331953,2
Prunus domestica,399,2271,8947,0.6484558327751871,0.9628585577337692,0.4955921471118927,0.6541353383458647,0.5341455236392086,0.18828086198507332,0.3458646616541353,0.21065993473680844,2
Carpinus betulus,194,2457,9006,0.8047326982469877,0.9091904484566103,0.5263795256614685,0.6701030927835051,0.772262935820564,0.44236602860406915,0.3298969072164949,0.5137479938918155,2
Cupressus sempervirens,1128,1455,8721,0.8649756924876043,0.9911357018054746,0.5466181635856628,0.925531914893617,0.6057791537667698,0.5313110686603868,0.07446808510638303,0.6142378875153396,2
Quercus robur,346,2256,8958,0.7902888495703133,0.8826874859894327,0.5327739715576172,0.6705202312138728,0.7496092877874525,0.4201295190013252,0.32947976878612717,0.5067689035666767,2
Pyrus pyraster,224,2380,8987,0.6952473016579503,0.9503203261502621,0.5399886965751648,0.5491071428571429,0.6926671859352398,0.2417743287923826,0.4508928571428571,0.33450847652959037,2
Ulmus minor,518,2063,8869,0.7551812721504908,0.8324742718502974,0.4994540214538574,0.9324324324324325,0.38425978126057053,0.31669221369300304,0.06756756756756754,0.403162549176756,2
Juglans regia,371,2226,8950,0.7331046996642021,0.9607920792079208,0.5046729445457458,0.48517520215633425,0.7829050279329609,0.26808023008929505,0.5148247978436657,0.35260431568010364,2
Crataegus laevigata,236,2360,8996,0.7152060520306577,0.942422830518346,0.5597080588340759,0.3389830508474576,0.8772787905735883,0.21626184142104599,0.6610169491525424,0.3422123580348328,2
Corylus avellana,279,2316,8981,0.646892344212134,0.7570843246517966,0.5231475830078125,0.3727598566308244,0.7491370671417437,0.121896923772568,0.6272401433691757,0.25298649199285306,2
Robinia pseudoacacia,401,2182,8898,0.6772845084411919,0.919239718232547,0.4949623942375183,0.8254364089775561,0.4398741290177568,0.2653105379953129,0.1745635910224439,0.28475535145054875,2
Malus domestica,245,2308,8967,0.5410222971758124,0.060151426907396624,0.4834693968296051,0.22857142857142856,0.7378164380506301,-0.03361213337794133,0.7714285714285715,0.15061893609902977,2
Fraxinus excelsior,274,2282,8983,0.6536604827772816,0.7383248058412372,0.540915310382843,0.2518248175182482,0.8423689190693532,0.09419373658760133,0.7481751824817517,0.26457436634161363,2
Ulmus glabra,508,2044,8866,0.8048234785280759,0.9962958648806057,0.4645625054836273,0.7125984251968503,0.7725016918565306,0.48510011705338085,0.28740157480314965,0.49803460446081727,2
Acer campestre,306,2242,8955,0.6984851636541458,0.9794641817122889,0.5492847561836243,0.4869281045751634,0.7675041876046901,0.2544322921798534,0.5130718954248366,0.3039774033566526,2
Pinus pinaster,480,2005,8961,0.8501322862031767,0.96172864713601,0.46736618876457214,0.9291666666666667,0.5042963954915746,0.4334630621582414,0.0708333333333333,0.5801626492578953,2
Tilia cordata,444,2091,8926,0.7172159275565057,0.9856872035196235,0.4818560481071472,0.5630630630630631,0.7116289491373515,0.2746920122004146,0.4369369369369369,0.31929447933257027,2
Mespilus germanica,644,1873,8900,0.7308762823644358,0.7269306930693069,0.5534929037094116,0.5279503105590062,0.7201123595505617,0.24806267010956784,0.4720496894409938,0.41180333589224655,2
Abies alba,294,2188,9001,0.8387930441591146,0.9794991263832266,0.5299375057220459,0.6326530612244898,0.8264637262526386,0.4591167874771285,0.36734693877551017,0.5672434733253372,2
Tilia platyphyllos,292,2186,8944,0.682615727693778,0.98120262435659,0.512321412563324,0.589041095890411,0.6584302325581395,0.24747132844855058,0.410958904109589,0.3145538755605656,2
Pinus sylvestris,197,2280,9009,0.7805933491212679,0.9864065230052417,0.5517102479934692,0.6700507614213198,0.7592407592407593,0.4292915206620791,0.3299492385786802,0.4619430203186548,2
Fagus sylvatica,309,2161,8980,0.7846101729121169,0.9718393840859781,0.5420046448707581,0.45307443365695793,0.8404231625835189,0.2934975962404769,0.5469255663430421,0.45551675423991467,2
Cormus domestica,334,2085,8949,0.767897995494094,0.9832930005714846,0.5234811305999756,0.8502994011976048,0.5829701642641636,0.4332695654617684,0.14970059880239517,0.4539690314309363,2
