feature_set,metric,stratum,n,mean_delta,sd_delta,share_improved
env_availability,boyce,no_tree,336,0.044539702084579295,0.1899199468467583,0.5952380952380952
env_availability,auc,cropland,336,0.013461879540938542,0.02420374004986495,0.7261904761904762
env_availability,tss,cropland,336,0.013742249519163904,0.04902663959131682,0.6041666666666666
env_availability,boyce,cropland,336,0.04779111226261367,0.19566278197250303,0.5803571428571429
env_availability,auc,high_tree,337,0.0027943849685708165,0.023445560422346527,0.5845697329376854
env_availability,tss,high_tree,337,0.005661337655511409,0.06827141351649091,0.5489614243323442
env_availability,boyce,high_tree,337,-0.00989550295587399,0.16764614697782176,0.5103857566765578
env_builtup,auc,all,339,0.007890291281186245,0.016810711531541376,0.6755162241887905
env_builtup,tss,all,339,0.02086880035720232,0.044521049436843735,0.696165191740413
env_builtup,boyce,all,339,0.008427803378035722,0.086952041712221,0.5250737463126843
env_builtup,auc,low_tree,339,0.014560843919572174,0.023270431117441336,0.7345132743362832
env_builtup,tss,low_tree,339,0.03239927540065826,0.05367360821362526,0.7463126843657817
env_builtup,boyce,low_tree,339,0.03143992782396094,0.1741626030557108,0.5162241887905604
env_builtup,auc,no_tree,336,0.016014585332601194,0.02487971602746556,0.75
env_builtup,tss,no_tree,336,0.038270691965680136,0.05466121656320773,0.75
env_builtup,boyce,no_tree,336,0.046987021721588695,0.17953692245426525,0.5625
env_builtup,auc,cropland,336,0.011304180724453536,0.023182636249619075,0.6934523809523809
env_builtup,tss,cropland,336,0.010162440393115358,0.048313889978379695,0.6220238095238095
env_builtup,boyce,cropland,336,0.05059340081240767,0.1897098522349547,0.5833333333333334
env_builtup,auc,high_tree,337,-0.0009293646079027411,0.020813004699507805,0.49258160237388726
env_builtup,tss,high_tree,337,0.0030420851040981653,0.06230348954176668,0.5252225519287834
env_builtup,boyce,high_tree,337,-0.012322927240036275,0.1489479037751512,0.4807121661721068
env_cropland,auc,all,339,0.002275203200173346,0.014321100540432927,0.5486725663716814
env_cropland,tss,all,339,0.008209423995658233,0.03740690863170644,0.584070796460177
env_cropland,boyce,all,339,0.001591445605551942,0.06626721734436143,0.5398230088495575
env_cropland,auc,low_tree,339,0.0031818371670401433,0.01700215024771941,0.584070796460177
env_cropland,tss,low_tree,339,0.010166156076362518,0.03938475761305894,0.6224188790560472
env_cropland,boyce,low_tree,339,0.01620015107604214,0.14328753833492333,0.528023598820059
env_cropland,auc,no_tree,336,0.0032654659022528084,0.01842061563980769,0.5892857142857143
env_cropland,tss,no_tree,336,0.011971771441503217,0.04098912844527494,0.6339285714285714
env_cropland,boyce,no_tree,336,0.03469580606761155,0.15477528001499843,0.5535714285714286
env_cropland,auc,cropland,336,0.002672572598493915,0.020033579954937444,0.5654761904761905
env_cropland,tss,cropland,336,-0.0021346294195684376,0.04414329990705627,0.5119047619047619
env_cropland,boyce,cropland,336,-0.0020253691901651154,0.19403828708963688,0.49404761904761907
env_cropland,auc,high_tree,337,0.0006198404029537102,0.018980425136901513,0.5014836795252225
env_cropland,tss,high_tree,337,0.008361195534728756,0.058993706893515276,0.516320474777448
env_cropland,boyce,high_tree,337,-0.013109249460786135,0.14142578939486233,0.47181008902077154
env_availability_no_builtup,auc,all,339,0.006662125510390794,0.016073256591578426,0.696165191740413
env_availability_no_builtup,tss,all,339,0.02001744896470173,0.04595588044381829,0.7020648967551623
env_availability_no_builtup,boyce,all,339,0.005610964131739439,0.08852893703385945,0.5191740412979351
env_availability_no_builtup,auc,low_tree,339,0.009092669076420432,0.0200090101373245,0.6902654867256637
env_availability_no_builtup,tss,low_tree,339,0.018976419810124268,0.04964176708588943,0.6873156342182891
env_availability_no_builtup,boyce,low_tree,339,0.017290837808285404,0.1542447349063253,0.528023598820059
env_availability_no_builtup,auc,no_tree,336,0.010446295396235886,0.02205825180139069,0.6964285714285714
env_availability_no_builtup,tss,no_tree,336,0.020368322717893378,0.0518710097324149,0.6755952380952381
env_availability_no_builtup,boyce,no_tree,336,0.03720152260962069,0.17228327933110688,0.5684523809523809
env_availability_no_builtup,auc,cropland,336,0.006022586394773284,0.024050281171778144,0.625
env_availability_no_builtup,tss,cropland,336,0.00898708738225329,0.0515222985710929,0.5922619047619048
env_availability_no_builtup,boyce,cropland,336,0.013074696061152294,0.2040529976224928,0.5178571428571429
env_availability_no_builtup,auc,high_tree,337,0.00042243771275487954,0.02405801303012436,0.49554896142433236
env_availability_no_builtup,tss,high_tree,337,0.01252979025685506,0.06972412821187117,0.5667655786350149
env_availability_no_builtup,boyce,high_tree,337,-0.005539972360934356,0.1673700095859443,0.5133531157270029
