species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Nyssa biflora,1167,963,244313,0.9263151099179997,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia grandiflora,3735,2197,243079,0.8983192948900294,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia virginiana,3697,2503,242773,0.8996380449237706,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia acuminata,3451,2508,242768,0.8735508432370318,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia macrophylla,3014,1395,243881,0.835379337856961,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia tripetala,3842,1906,243370,0.8903870690113006,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia stellata,176,96,245180,0.6646473262494617,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Magnolia x soulangeana,0,0,0,,0,0,5,,skip_no_records
Cornus florida,3589,2760,242516,0.8334069439892848,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cornus nuttallii,3761,2178,243098,0.9576857297010829,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cornus kousa,1970,1093,244183,0.8562792764199652,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cornus alternifolia,3700,2842,242434,0.8655280396999965,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cercis canadensis,3603,2454,242822,0.8170031464914574,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cercis occidentalis,3801,1983,243293,0.7880887608364725,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Amelanchier arborea,3186,2675,242601,0.7930472321116394,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Amelanchier laevis,1739,1547,243729,0.8435865435052634,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
