species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Acer nigrum,1914,1414,243862,0.7185614342106479,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer macrophyllum,3368,2336,242940,0.9460970607721437,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer circinatum,0,0,0,,0,0,5,,skip_no_records
Acer pensylvanicum,3479,2756,242520,0.8253797302193056,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer spicatum,3647,2787,242489,0.9235327022867361,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer glabrum,3316,2624,242652,0.9340175043028847,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer platanoides,2634,902,244374,0.884965673022564,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer palmatum,3365,687,244589,0.881284385594302,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer griseum,254,58,245218,0.9095560549374779,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer campestre,3458,398,244878,0.890609879283702,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer buergerianum,255,81,245195,0.8643669293031276,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus strobus,3452,2529,242747,0.7326140418237652,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus taeda,3649,2543,242733,0.8275579278743648,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus echinata,3243,2443,242833,0.8656080169132214,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus palustris,3744,2031,243245,0.8081865695698468,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus elliottii,3704,1557,243719,0.928689152565619,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus rigida,3471,1748,243528,0.8869084326418681,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus virginiana,3683,2718,242558,0.8505687913747716,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus banksiana,3758,2173,243103,0.853276072327894,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus resinosa,3476,2394,242882,0.7920533672122028,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus ponderosa,2514,1489,243787,0.9202044472782958,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus contorta,2777,1799,243477,0.7477873905385388,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus flexilis,2673,1743,243533,0.9210351658956967,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus edulis,2264,1561,243715,0.9631677647728655,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus monophylla,3592,2171,243105,0.9530118473700978,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus lambertiana,3771,2013,243263,0.9631823701599292,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus jeffreyi,2955,1828,243448,0.7832422464843231,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus sabiniana,3826,1872,243404,0.916935399057643,100,2,5,,skip_few_folds
Pinus coulteri,2575,1123,244153,0.6186239222219466,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus radiata,1443,464,244812,0.8336877032072236,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus albicaulis,3357,1926,243350,0.9700164149889327,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus aristata,1350,753,244523,0.6879108454960061,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus glabra,693,480,244796,0.7770563733033833,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus serotina,806,518,244758,0.8500395986941445,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus clausa,2205,934,244342,0.6515420290953253,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus nigra,337,154,245122,0.8371793404668084,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus sylvestris,2063,1470,243806,0.7812808997888434,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus thunbergii,347,94,245182,0.9451738653974106,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pinus mugo,72,71,0,,0,0,5,,skip_few_cells
Pseudotsuga menziesii,2561,1758,243518,0.7658547074727753,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tsuga canadensis,3489,2547,242729,0.8492826146006522,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tsuga heterophylla,3785,2309,242967,0.9601830371588428,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tsuga mertensiana,3465,2015,243261,0.9829625212760604,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies balsamea,3748,2276,243000,0.9341814845329439,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies fraseri,1230,262,245014,0.812746363180781,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies concolor,3053,2126,243150,0.892566350875345,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies grandis,2617,1736,243540,0.9320836815775339,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies procera,1248,674,244602,0.9725178513820076,100,2,5,,skip_few_folds
Abies magnifica,2102,1345,243931,0.9393601659820708,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Abies lasiocarpa,2594,1904,243372,0.8551769096559095,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Picea glauca,2905,2018,243258,0.702407366708359,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Picea mariana,2782,1843,243433,0.9103627670334147,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Picea rubens,3811,2140,243136,0.9605076387546715,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Picea pungens,3184,2058,243218,0.8850755745533763,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Picea engelmannii,3475,2427,242849,0.8630765789711191,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
