species,auc,tss,tss_max,boyce,sensitivity,omission_rate,n_presence
Castanea sativa,0.7443604842218298,0.3364234047709841,0.3978389609030308,0.8917345897693062,0.5897396309634473,0.41026036903655266,540.6
Ilex aquifolium,0.7362087628427411,0.3335499563349998,0.37160443509130314,0.9552463317997779,0.6043581985621838,0.39564180143781613,535.2
Populus alba,0.7353592970815221,0.31465320902160276,0.35813992342537704,0.963965595091187,0.5850755437690597,0.4149244562309403,449.2
Torminalis glaberrima,0.7340071920489298,0.296841461690797,0.3569712011233409,0.922858685095228,0.5552538668826095,0.4447461331173905,557.4
Ulmus laevis,0.732296023398996,0.2755800032368076,0.37410287046455004,0.9068937847616052,0.5317937924420517,0.46820620755794823,347.2
Picea pungens,0.7316858133176616,0.33238401185345623,0.3587218216416522,0.9873569552726217,0.5795585180275343,0.42044148197246567,593.8
Sequoiadendron giganteum,0.7276687961661226,0.23129503704273477,0.35353580352311387,0.9472013954469116,0.4401986154155342,0.5598013845844658,401.6
Prunus persica,0.7262250232750354,0.29465019974603485,0.3477446829431711,0.9485016336385836,0.5992218819905923,0.4007781180094077,639.0
Quercus robur,0.7232473079864195,0.2464804331579476,0.3788370068130852,0.8647647778850803,0.5593132677407124,0.4406867322592875,520.4
Cornus mas,0.722109650475468,0.30927214458146596,0.3489089923185573,0.9658613544586313,0.6260046249773955,0.3739953750226045,477.4
Ulmus glabra,0.715430688156549,0.2934605921596729,0.35610838562284347,0.9550471753057659,0.535147140556252,0.46485285944374793,510.4
Betula pendula,0.7142813772489764,0.26370913864826717,0.34172661284636335,0.9163837591323933,0.5268499986339179,0.47315000136608215,549.4
Cedrus atlantica,0.7117365016599562,0.30170416696225455,0.33427828445203556,0.9837844735846135,0.5989191695969602,0.4010808304030398,424.6
Carpinus betulus,0.702496337588149,0.19366141818994195,0.3426961047980369,0.7834842222311036,0.4480226105905075,0.5519773894094925,530.2
Quercus petraea,0.7014071337127908,0.24921397938537787,0.3063836954677095,0.9651630102319381,0.47153419112522277,0.5284658088747772,565.4
Mespilus germanica,0.7002376048797505,0.24433611689946327,0.34455351464994033,0.7412393196674529,0.4958109330814107,0.5041890669185893,503.4
Populus nigra,0.6997447481604003,0.2836250995972422,0.30681621902606787,0.982656153604666,0.6642172383526125,0.3357827616473875,441.2
Juniperus communis,0.6979800570457235,0.2787989965135246,0.30357121524461317,0.9601160819499377,0.6718655730351132,0.3281344269648868,458.8
Pyrus pyraster,0.6901005567183276,0.21747270001992222,0.2980677436467893,0.8442628994382197,0.5025644930808223,0.4974355069191777,520.8
Salix caprea,0.6845536046560152,0.22781671883243457,0.28986529273380024,0.9329277425111672,0.5451822789465215,0.4548177210534785,551.2
Ulmus minor,0.6840808050707465,0.23040031462114166,0.2993040057460177,0.8350842770295481,0.6656686859506721,0.3343313140493279,516.2
Acer platanoides,0.680010568631922,0.24071904775920644,0.27366094256137324,0.973288812524433,0.529939213338293,0.47006078666170703,481.8
Pinus nigra,0.6775440141176275,0.24086960508870944,0.2868501046242088,0.8898451277122967,0.654483969394569,0.34551603060543107,474.6
Prunus padus,0.6742758469174239,0.2345497595952936,0.2555804383390866,0.9136884181570204,0.5359450707055119,0.4640549292944881,449.2
Aesculus hippocastanum,0.6714480172651386,0.2297954432970636,0.25205550642024244,0.866599115573339,0.521244040315313,0.478755959684687,478.2
Juglans regia,0.6705414414997499,0.20830897936700715,0.2603739916449606,0.9591562551412249,0.5548351058323551,0.44516489416764493,519.4
Pinus sylvestris,0.6662880039234701,0.19849269175735193,0.280015547232577,0.746641238528731,0.5056948545310769,0.49430514546892307,495.4
Alnus glutinosa,0.6650452674058762,0.21044114429999589,0.2734160681578332,0.8189638699201071,0.5991382733889185,0.40086172661108155,470.8
Tilia platyphyllos,0.66111076301022,0.22410175409242633,0.255409533495372,0.9693825968015289,0.6159814852114047,0.38401851478859533,495.6
Salix alba,0.657198895183756,0.22184737490377615,0.24097365885513752,0.9653457480668445,0.5532724947667892,0.4467275052332108,463.4
Taxus baccata,0.656217233418823,0.21540951339623202,0.2452651066826935,0.9259573367037438,0.48971816187384204,0.510281838126158,463.8
Populus tremula,0.6484612379154251,0.17427954135183885,0.2446407694910433,0.8610387391090848,0.46717212308967626,0.5328278769103237,574.6
Tilia cordata,0.6400724346751148,0.1766352002705756,0.23157508006743277,0.7958735551292444,0.5404890387885803,0.45951096121141966,507.0
Crataegus laevigata,0.6383655703279769,0.12165458632542174,0.22411213162712906,0.8790532783938104,0.36634547948676277,0.6336545205132372,519.2
Prunus avium,0.6335637321647658,0.14771676388091892,0.21639484458483665,0.8528957941834271,0.4051715445859182,0.5948284554140818,565.4
Robinia pseudoacacia,0.6333689480498357,0.16429722386136403,0.22243875141833208,0.7552538904382626,0.6134832700614077,0.3865167299385924,516.6
Prunus domestica,0.6291473836103032,0.13440791657222156,0.1901924944647349,0.9077812337341786,0.6081105663619205,0.3918894336380795,534.0
Fraxinus excelsior,0.6267071187800421,0.10855904835188515,0.2139789653847597,0.7664153426642064,0.3974701921040733,0.6025298078959267,511.2
Malus domestica,0.6262034052833243,0.13263295623923485,0.21392373827481687,0.7636353902405288,0.5365093240533295,0.4634906759466705,510.6
Prunus cerasus,0.622992252569086,0.1225082474602345,0.19615449331055085,0.8434871399234559,0.4958689516286291,0.5041310483713708,468.0
Salix fragilis,0.6216959500058606,0.11488331025994288,0.20092979793137147,0.8551021254871699,0.5534895206065842,0.4465104793934157,451.0
Acer pseudoplatanus,0.6209039955556606,0.14323490135150546,0.20597104523996418,0.8217039564546944,0.42655473015361167,0.5734452698463883,451.2
Corylus avellana,0.619090702419556,0.09921345839328907,0.19972464736233492,0.6252729358687039,0.38643098215927835,0.6135690178407216,519.0
Acer campestre,0.6152200458172535,0.1391954065826171,0.19524275617526982,0.7758204160667737,0.47289827065616674,0.5271017293438333,509.6
Malus sylvestris,0.6077502287590171,0.13022081981519765,0.17054858917572374,0.8038597721261118,0.5993473920045715,0.40065260799542857,592.2
Crataegus monogyna,0.5918725711961749,0.0848001411511462,0.1624262253559723,0.5887963873223753,0.46004963420615325,0.5399503657938467,479.4
Pyrus communis,0.5826290524927022,0.08160259413095867,0.16068270910065566,0.661855394021113,0.5067113435819586,0.4932886564180414,543.4
