latitude,longitude,grid_row,grid_col,plant_records,weight
48.91666666666667,2.25,246,1093,240160.421875,240160.921875
43.75,7.083333333333314,277,1122,155644.4375,155644.9375
43.75,5.25,277,1111,87699.4296875,87699.9296875
45.41666666666667,5.083333333333314,267,1110,51729.19140625,51729.69140625
42.41666666666667,1.75,285,1090,2748.333251953125,2748.833251953125
42.083333333333336,9.25,287,1135,14547.34765625,14547.84765625
48.083333333333336,0.9166666666666572,251,1085,36746.48828125,36746.98828125
43.91666666666667,3.5833333333333144,276,1101,39023.60546875,39024.10546875
47.583333333333336,2.416666666666657,254,1094,20535.52734375,20536.02734375
45.083333333333336,6.25,269,1117,272073.8125,272074.3125
42.41666666666667,1.9166666666666572,285,1091,65150.96875,65151.46875
49.083333333333336,2.0833333333333144,245,1092,120480.6328125,120481.1328125
49.41666666666667,0.75,243,1084,32280.728515625,32281.228515625
44.25,-0.25,274,1078,12030.0517578125,12030.5517578125
43.41666666666667,-1.75,279,1069,33401.65625,33402.15625
49.083333333333336,1.4166666666666572,245,1088,58029.2109375,58029.7109375
46.25,-1.4166666666666856,262,1071,18116.287109375,18116.787109375
46.25,6.25,262,1117,92198.6796875,92199.1796875
48.25,3.25,250,1099,39483.73828125,39484.23828125
42.41666666666667,2.0833333333333144,285,1092,137368.125,137368.625
43.41666666666667,-0.08333333333334281,279,1079,20070.16015625,20070.66015625
42.75,0.08333333333331439,283,1080,62586.61328125,62587.11328125
48.41666666666667,3.0833333333333144,249,1098,82743.8828125,82744.3828125
45.41666666666667,3.75,267,1102,47267.23828125,47267.73828125
46.083333333333336,6.25,263,1117,127166.96875,127167.46875
48.583333333333336,0.5833333333333144,248,1083,13690.111328125,13690.611328125
45.75,1.9166666666666572,265,1091,38977.3125,38977.8125
44.91666666666667,6.416666666666657,270,1118,199933.03125,199933.53125
44.75,6.416666666666657,271,1118,193377.125,193377.625
48.75,-1.0833333333333428,247,1073,11437.4296875,11437.9296875
49.583333333333336,-1.5833333333333428,242,1070,12885.8349609375,12886.3349609375
42.41666666666667,8.583333333333314,285,1131,14274.4599609375,14274.9599609375
45.583333333333336,3.0833333333333144,266,1098,70811.6640625,70812.1640625
46.25,5.416666666666657,262,1112,43318.18359375,43318.68359375
47.91666666666667,1.75,252,1090,75829.421875,75829.921875
50.75,2.25,235,1093,82834.3046875,82834.8046875
44.25,6.25,274,1117,78552.1640625,78552.6640625
43.25,6.083333333333314,280,1116,93817.7890625,93818.2890625
49.083333333333336,2.75,245,1096,40065.71875,40066.21875
48.25,2.5833333333333144,250,1095,71278.8828125,71279.3828125
45.91666666666667,1.4166666666666572,264,1088,36490.53125,36491.03125
42.75,1.9166666666666572,283,1091,52551.0,52551.5
