species,latitude,longitude,year,country,basis,grid_row,grid_col,n_records
Abies alba,48.60229,0.73979,2016,FR,HUMAN_OBSERVATION,248,1084,2
Abies alba,48.6036,0.881771,1998,FR,OBSERVATION,248,1085,2
Abies alba,48.58591,2.54248,2022,FR,HUMAN_OBSERVATION,248,1095,1
Abies alba,48.51351,2.73162,2022,FR,HUMAN_OBSERVATION,248,1096,1
Abies alba,48.54937,4.89872,2009,FR,HUMAN_OBSERVATION,248,1109,1
Abies alba,48.58292,5.00882,2009,FR,HUMAN_OBSERVATION,248,1110,1
Abies alba,48.65161,5.22631,2021,FR,HUMAN_OBSERVATION,248,1111,1
Abies alba,48.50817,5.46108,2023,FR,HUMAN_OBSERVATION,248,1112,1
Abies alba,48.52381,5.57459,2021,FR,HUMAN_OBSERVATION,248,1113,2
Abies alba,48.617261,5.831678,2025,FR,HUMAN_OBSERVATION,248,1114,3
Abies alba,48.54971,5.92086,2021,FR,HUMAN_OBSERVATION,248,1115,1
Abies alba,48.60097,6.01351,2022,FR,HUMAN_OBSERVATION,248,1116,1
Abies alba,48.54931,6.4419,2021,FR,HUMAN_OBSERVATION,248,1118,2
Abies alba,48.53715,6.68862,2016,FR,HUMAN_OBSERVATION,248,1120,2
Abies alba,48.617893,6.980537,2023,FR,HUMAN_OBSERVATION,248,1121,5
Abies alba,48.581234,7.049713,2025,FR,HUMAN_OBSERVATION,248,1122,16
Abies alba,48.578552,7.287432,2025,FR,HUMAN_OBSERVATION,248,1123,28
Abies alba,48.60504,7.37131,2021,FR,HUMAN_OBSERVATION,248,1124,11
Abies alba,48.38616,-4.37198,2009,FR,HUMAN_OBSERVATION,249,1053,2
Abies alba,48.34147,-4.04675,2021,FR,HUMAN_OBSERVATION,249,1055,2
Abies alba,48.367862,-3.733716,2026,FR,HUMAN_OBSERVATION,249,1057,3
Abies alba,48.37602,-3.37421,2021,FR,HUMAN_OBSERVATION,249,1059,2
Abies alba,48.466494,-2.883656,2025,FR,HUMAN_OBSERVATION,249,1062,2
Abies alba,48.4678,-2.74737,2016,FR,HUMAN_OBSERVATION,249,1063,1
Abies alba,48.49297,-2.35683,2021,FR,HUMAN_OBSERVATION,249,1065,3
Abies alba,48.435189,-2.224391,2026,FR,HUMAN_OBSERVATION,249,1066,1
Abies alba,48.472267,-2.038065,2026,FR,HUMAN_OBSERVATION,249,1067,4
Abies alba,48.46548,-1.85557,2026,FR,HUMAN_OBSERVATION,249,1068,16
Abies alba,48.46611,-1.53444,2016,FR,HUMAN_OBSERVATION,249,1070,1
Abies alba,48.40273,-1.34816,2022,FR,HUMAN_OBSERVATION,249,1071,1
Abies alba,48.384553,-1.181803,2024,FR,HUMAN_OBSERVATION,249,1072,1
Abies alba,48.416223,-0.123055,2026,FR,HUMAN_OBSERVATION,249,1079,3
Abies alba,48.3906,0.239868,2009,FR,OBSERVATION,249,1081,4
Abies alba,48.39811,0.54944,2016,FR,HUMAN_OBSERVATION,249,1083,1
Abies alba,48.40286,2.72339,2023,FR,HUMAN_OBSERVATION,249,1096,2
Abies alba,48.43767,3.20518,1998,FR,HUMAN_OBSERVATION,249,1099,1
Abies alba,48.35461,4.86347,1997,FR,HUMAN_OBSERVATION,249,1109,1
Abies alba,48.35768,5.02432,2021,FR,HUMAN_OBSERVATION,249,1110,1
Abies alba,48.43521,6.49534,2016,FR,HUMAN_OBSERVATION,249,1118,1
Abies alba,48.44429,6.56609,2016,FR,HUMAN_OBSERVATION,249,1119,1
Abies alba,48.474133,6.936099,2026,FR,HUMAN_OBSERVATION,249,1121,3
Abies alba,48.413541,7.042664,2025,FR,HUMAN_OBSERVATION,249,1122,17
Abies alba,48.412325,7.17851,2025,FR,HUMAN_OBSERVATION,249,1123,19
Abies alba,48.439852,7.396131,2025,FR,HUMAN_OBSERVATION,249,1124,16
Abies alba,48.37674,7.64687,2021,FR,HUMAN_OBSERVATION,249,1125,1
Abies alba,48.27884,-4.2013,2021,FR,HUMAN_OBSERVATION,250,1054,1
Abies alba,48.31303,-4.09082,2009,FR,HUMAN_OBSERVATION,250,1055,1
Abies alba,48.31426,-3.88116,2021,FR,HUMAN_OBSERVATION,250,1056,1
Abies alba,48.17845,-3.54144,2009,FR,HUMAN_OBSERVATION,250,1058,1
Abies alba,48.22447,-2.95303,2009,FR,HUMAN_OBSERVATION,250,1062,1
Abies alba,48.19863,-2.72129,2016,FR,HUMAN_OBSERVATION,250,1063,1
Abies alba,48.326681,-2.362094,2026,FR,HUMAN_OBSERVATION,250,1065,3
